study_id,study.year,settlement,state,region,technique,criteria,gender,sample_sz,age,mean_wc,wc_sd,whr,whr_sd,Proportion_of_high_WC
Adegoke,2021,urban,lagos,Southern,midpoint,IDF,males,2464,37.7,84.4,11.6,0.89,0.11,NA
Adegoke,2021,urban,lagos,Southern,midpoint,IDF,females,2671,37.4,89.6,15,0.88,0.1,NA
Adejumo,2019,urban+rural,mixed,Southern,iliac_crest,IDF,males,146,46.2,87.64,11.07,NA,NA,NA
Adejumo,2019,urban+rural,mixed,Southern,iliac_crest,IDF,females,389,47.4,90.65,14.18,NA,NA,NA
Adeyemi,2017,urban,ogun,Southern,NA,IDF,males,249,NA,83.27,2.6,0.84,0.1,20.88353414
Adeyemi,2017,urban,ogun,Southern,NA,IDF,females,301,NA,86.22,13.9,0.84,0.1,70.7641196
Bathna,2017,urban,gombe,Northern,Not Reported,ATP III,males,571,35.31,78.73,10.31,NA,NA,5.604203152
Bathna,2017,urban,gombe,Northern,Not Reported,ATP III,females,731,37.68,66.25,10.63,NA,NA,5.882352941
Chukwuonye,2013,urban+rural,abia,Southern,iliac_crest,ATP III,males,1378,41.6,81.7,9.7,NA,NA,3.120464441
Chukwuonye,2013,urban+rural,abia,Southern,iliac_crest,ATP III,females,1429,42.3,85.7,12.8,NA,NA,39.32820154
Oguoma,2014,mixed,delta,Southern,midpoint,IDF,males,149,38.3,87.2,15.1,NA,NA,28.18791946
Oguoma,2014,mixed,delta,Southern,midpoint,IDF,females,273,42.9,86.7,11.5,NA,NA,64.83516484
Okosun,1996,urban,ibadan,Southern,midpoint,IDF,males,875,41.5,77.7,9.2,0.88,0.05,NA
Okosun,1996,urban,ibadan,Southern,midpoint,IDF,females,1056,40,75.7,10.2,0.82,0.07,NA
Oladapo,2005,rural,ibadan,Southern,NA,ATP III,males,873,NA,87.1,20.2,NA,NA,2.634593356
Oladapo,2005,rural,ibadan,Southern,NA,ATP III,females,1127,NA,89.5,18.4,NA,NA,8.961845608
Oluyombo,2016,urban,mixed,Southern,midpoint,IDF,males,298,51.8,80.7,9.9,NA,NA,NA
Oluyombo,2016,urban,mixed,Southern,midpoint,IDF,females,785,57,84.5,12.5,NA,NA,NA
Sabir,2008,rural,sokoto,Northern,midpoint,IDF,males,210,40.3,79.2,8.7,0.87,0.06,3.3
Sabir,2008,rural,sokoto,Northern,midpoint,IDF,females,183,36.6,77.9,8.6,0.85,0.06,16.2
Sabir,2008,urban,sokoto,Northern,midpoint,IDF,males,199,42.1,85.5,10.3,0.89,0.06,7.2
Sabir,2008,urban,sokoto,Northern,midpoint,IDF,females,190,36.4,82.9,10.7,0.84,0.07,29
Sabir_b,2016,urban,sokoto,Northern,Not Reported,ATP III,males,201,38.4,80.9,13.1,NA,NA,5.472636816
Sabir_b,2016,urban,sokoto,Northern,Not Reported,ATP III,females,209,40.8,90.8,12.6,NA,NA,49.76076555
Sola,2011,urban+rural,benue,Northern,midpoint,IDF,males,298,25.1,77.3,0.4,NA,NA,2.348993289
Sola,2011,urban+rural,benue,Northern,midpoint,IDF,females,137,22.4,75.6,0.7,NA,NA,27.73722628
