study_id,study.year,settlement,state,region,technique,criteria,obs_count,sample_sz,age,mean_wc
Adeyemi,2017,urban,ogun,Southern,NA,IDF,265,550,NA,84.9
Ahaneku,2011,rural,enugu,Southern,umblicus,ATP III,79,257,55.1,NA
Bathna,2017,urban,gombe,Northern,Not Reported,ATP III,75,1302,36.3,71.7
Chukwukelu,2009,urban+rural,enugu,Southern,midpoint,ATP III,59,205,NA,87.1
Chukwuonye,2013,urban+rural,abia,Southern,iliac_crest,ATP III,605,2807,42,83.7
Nwatu,2013,rural,enugu,Southern,midpoint,IDF,277,824,51.1,NA
Oguoma,2014,urban+rural,delta,Southern,midpoint,IDF,217,422,40,87.1
Okafor,2016,urban,enugu,Southern,midpoint,IDF,597,898,48.7,91.1
Oladapo,2005,rural,ibadan,Southern,NA,ATP III,124,2000,42.1,88.5
Puepet,2008,urban,plateu,Northern,midpoint,ATP III,490,825,38.2,NA
Sabir,2008,urban+rural,sokoto,Northern,midpoint,IDF,218,782,38.9,81.4
Sabir_b,2016,urban,sokoto,Northern,Not Reported,ATP III,115,410,39.6,86.2
Sola,2011,urban+rural,benue,Northern,midpoint,IDF,45,435,24.2,76.8
Ulasi,2010,urban+rural,enugu,Southern,midpoint,IDF,600,1458,43.8,NA
