Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
184,"M. Hult","Hypertension, diabetes and overweight: Looming legacies of the biafran famine",2010,"PLoS ONE","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78149438429&origin=inward",1,"2021-07-17 16:46:24","Article","10.1371/journal.pone.0013582","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/78149438429",5,10,,,184,16.73,184,1,11,"","",""
171,"A. Luke","Relation between body mass index and body fat in black population samples from Nigeria, Jamaica, and the United States",1997,"American Journal of Epidemiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031004262&origin=inward",2,"2021-07-17 16:46:24","Article","10.1093/oxfordjournals.aje.a009159","0002-9262","https://api.elsevier.com/content/abstract/scopus_id/0031004262",145,7,620,628,171,7.13,171,1,24,"","",""
110,"O. Oladapo","A prevalence of cardiometabolic risk factors among a rural Yoruba south-western Nigerian population: A population-based survey",2010,"Cardiovascular Journal of Africa","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77649110697&origin=inward",3,"2021-07-17 16:46:24","Article","","1995-1892","https://api.elsevier.com/content/abstract/scopus_id/77649110697",21,1,26,31,110,10.00,110,1,11,"","",""
101,"M. Heo","A meta-analytic investigation of linkage and association of common leptin receptor (LEPR) polymorphisms with body mass index and waist circumference",2002,"International Journal of Obesity","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=18344396039&origin=inward",4,"2021-07-17 16:46:24","Article","10.1038/sj.ijo.0801990","0307-0565","https://api.elsevier.com/content/abstract/scopus_id/18344396039",26,5,640,646,101,5.32,101,1,19,"","",""
91,"I. Okosun","Association of waist circumference with risk of hypertension and type 2 diabetes in Nigerians, Jamaicans, and African-Americans",1998,"Diabetes Care","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031724918&origin=inward",5,"2021-07-17 16:46:24","Article","10.2337/diacare.21.11.1836","0149-5992","https://api.elsevier.com/content/abstract/scopus_id/0031724918",21,11,1836,1842,91,3.96,91,1,23,"","",""
78,"I. Ulasi","High prevalence and low awareness of hypertension in a market population in Enugu, Nigeria",2011,"International Journal of Hypertension","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867007060&origin=inward",6,"2021-07-17 16:46:24","Article","10.4061/2011/869675","2090-0384","https://api.elsevier.com/content/abstract/scopus_id/84867007060",2011,,,,78,7.80,78,1,10,"","",""
57,"S. Olatunbosun","Hypertension in a black population: Prevalence and biosocial determinants of high blood pressure in a group of urban Nigerians",2000,"Journal of Human Hypertension","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034034326&origin=inward",7,"2021-07-17 16:46:24","Article","10.1038/sj.jhh.1000975","0950-9240","https://api.elsevier.com/content/abstract/scopus_id/0034034326",14,4,249,257,57,2.71,57,1,21,"","",""
51,"S.A. Isezuo","Prevalence, associated factors and relationship between prehypertension and hypertension: A study of two ethnic African populations in Northern Nigeria",2011,"Journal of Human Hypertension","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79952816475&origin=inward",8,"2021-07-17 16:46:24","Article","10.1038/jhh.2010.56","0950-9240","https://api.elsevier.com/content/abstract/scopus_id/79952816475",25,4,224,230,51,5.10,51,1,10,"","",""
50,"O. Adediran","Impact of urbanization and gender on frequency of metabolic syndrome among native Abuja settlers in Nigeria",2012,"Journal of Cardiovascular Disease Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0975358312330039","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864668644&origin=inward",9,"2021-07-17 16:46:24","Article","10.4103/0975-3583.98890","0975-3583","https://api.elsevier.com/content/abstract/scopus_id/84864668644",3,3,191,196,50,5.56,50,1,9,"","",""
45,"I. Okosun","Predictive value of abdominal obesity cut-off points for hypertension in Blacks from West African and Caribbean island nations",2000,"International Journal of Obesity","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033975603&origin=inward",10,"2021-07-17 16:46:24","Article","10.1038/sj.ijo.0801104","0307-0565","https://api.elsevier.com/content/abstract/scopus_id/0033975603",24,2,180,186,45,2.14,45,1,21,"","",""
42,"C.A. Onyekwere","Non-alcoholic fatty liver disease and the metabolic syndrome in an urban hospital serving an African community",2011,"Annals of Hepatology","","https://api.elsevier.com/content/article/eid/1-s2.0-S1665268119315595","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79956057030&origin=inward",11,"2021-07-17 16:46:24","Article","10.1016/s1665-2681(19)31559-5","1665-2681","https://api.elsevier.com/content/abstract/scopus_id/79956057030",10,2,119,124,42,4.20,42,1,10,"","",""
37,"T. Ogundiran","Body fat distribution and breast cancer risk: Findings from the Nigerian breast cancer study",2012,"Cancer Causes and Control","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862505591&origin=inward",12,"2021-07-17 16:46:24","Article","10.1007/s10552-012-9916-y","0957-5243","https://api.elsevier.com/content/abstract/scopus_id/84862505591",23,4,565,574,37,4.11,37,1,9,"","",""
33,"K. Meilleur","Circulating adiponectin is associated with obesity and serum lipids in West Africans",2010,"Journal of Clinical Endocrinology and Metabolism","","https://api.elsevier.com/content/article/eid/1-s2.0-S0021972X1060554X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954942861&origin=inward",13,"2021-07-17 16:46:24","Article","10.1210/jc.2009-2765","0021-972X","https://api.elsevier.com/content/abstract/scopus_id/77954942861",95,7,3517,3521,33,3.00,33,1,11,"","",""
30,"I. Okosun","Abdominal adiposity in six populations of West African descent: Prevalence and population attributable fraction of hypertension",1999,"Obesity Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033193220&origin=inward",14,"2021-07-17 16:46:24","Article","10.1002/j.1550-8528.1999.tb00433.x","1071-7323","https://api.elsevier.com/content/abstract/scopus_id/0033193220",7,5,453,462,30,1.36,30,1,22,"","",""
30,"R. Wilks","Obesity in peoples of the African diaspora",1996,"CIBA Foundation Symposia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030346225&origin=inward",15,"2021-07-17 16:46:24","Article","","0300-5208","https://api.elsevier.com/content/abstract/scopus_id/0030346225",,201,37,53,30,1.20,30,1,25,"","",""
29,"G. Ahaneku","Evaluation of blood pressure and indices of obesity in a typical rural community in eastern Nigeria",2011,"Annals of African Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959968829&origin=inward",16,"2021-07-17 16:46:24","Article","10.4103/1596-3519.82076","1596-3519","https://api.elsevier.com/content/abstract/scopus_id/79959968829",10,2,120,126,29,2.90,29,1,10,"","",""
26,"C. Ononamadu","Comparative analysis of anthropometric indices of obesity as correlates and potential predictors of risk for hypertension and prehypertension in a population in Nigeria",2017,"Cardiovascular Journal of Africa","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85018646875&origin=inward",17,"2021-07-17 16:46:24","Article","10.5830/CVJA-2016-061","1995-1892","https://api.elsevier.com/content/abstract/scopus_id/85018646875",28,2,92,99,26,6.50,26,1,4,"","",""
26,"J. Najafian","Association between sleep duration and diabetes mellitus: Isfahan Healthy Heart Program",2013,"Nigerian Journal of Clinical Practice","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873667601&origin=inward",18,"2021-07-17 16:46:24","Article","10.4103/1119-3077.106756","1119-3077","https://api.elsevier.com/content/abstract/scopus_id/84873667601",16,1,59,62,26,3.25,26,1,8,"","",""
24,"K. Ekoru","Deriving an optimal threshold of waist circumference for detecting cardiometabolic risk in sub-Saharan Africa",2018,"International Journal of Obesity","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044568778&origin=inward",19,"2021-07-17 16:46:24","Article","10.1038/ijo.2017.240","0307-0565","https://api.elsevier.com/content/abstract/scopus_id/85044568778",42,3,487,494,24,8.00,24,1,3,"","",""
24,"M. Ebesunun","Elevated plasma homocysteine in type 2 diabetes mellitus: A risk factor for cardiovascular diseases",2012,"Pan African Medical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871498852&origin=inward",20,"2021-07-17 16:46:24","Article","","1937-8688","https://api.elsevier.com/content/abstract/scopus_id/84871498852",12,1,,,24,2.67,24,1,9,"","",""
23,"A.A. Adeyemo","ZRANB3 is an African-specific type 2 diabetes locus associated with beta-cell mass and insulin response",2019,"Nature Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069469543&origin=inward",21,"2021-07-17 16:46:24","Article","10.1038/s41467-019-10967-7","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/85069469543",10,1,,,23,11.50,23,1,2,"","",""
23,"O. Ayodele","Prevalence and clinical correlates of metabolic syndrome in nigerians living with human immunodeficiency virus/acquired immunodeficiency syndrome",2012,"Metabolic Syndrome and Related Disorders","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872872827&origin=inward",22,"2021-07-17 16:46:24","Article","10.1089/met.2012.0050","1540-4196","https://api.elsevier.com/content/abstract/scopus_id/84872872827",10,5,373,379,23,2.56,23,1,9,"","",""
23,"B. Onwubere","Pattern of blood pressure indices among the residents of a rural community in south east Nigeria",2011,"International Journal of Hypertension","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84868286197&origin=inward",23,"2021-07-17 16:46:24","Article","10.4061/2011/621074","2090-0384","https://api.elsevier.com/content/abstract/scopus_id/84868286197",2011,,,,23,2.30,23,1,10,"","",""
23,"I.O. Amole","The prevalence of abdominal obesity and hypertension amongst adults in Ogbomoso, Nigeria",2011,"African Journal of Primary Health Care and Family Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84861865886&origin=inward",24,"2021-07-17 16:46:24","Article","10.4102/phcfm.v3i1.188","2071-2928","https://api.elsevier.com/content/abstract/scopus_id/84861865886",3,1,,,23,2.30,23,1,10,"","",""
22,"O. Ogah","Prevalence and determinants of hypertension in Abia State Nigeria: Results from the Abia State non-communicable diseases and cardiovascular risk factors survey",2013,"Ethnicity and Disease","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875770009&origin=inward",25,"2021-07-17 16:46:24","Article","","1049-510X","https://api.elsevier.com/content/abstract/scopus_id/84875770009",23,2,161,167,22,2.75,22,1,8,"","",""
21,"Y. Commodore-Mensah","Sex differences in cardiovascular disease risk of ghanaian-and nigerian-born west african immigrants in the united states: The afro-cardiac study",2016,"Journal of the American Heart Association","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85002953621&origin=inward",26,"2021-07-17 16:46:24","Article","10.1161/JAHA.115.002385","2047-9980","https://api.elsevier.com/content/abstract/scopus_id/85002953621",5,2,1,13,21,4.20,21,1,5,"","",""
21,"B.F. Oyeyemi","Sexual dimorphism in ratio of second and fourth digits and its relationship with metabolic syndrome indices and cardiovascular risk factors",2014,"Journal of Research in Medical Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84900325499&origin=inward",27,"2021-07-17 16:46:24","Article","","1735-1995","https://api.elsevier.com/content/abstract/scopus_id/84900325499",19,3,234,239,21,3.00,21,1,7,"","",""
20,"R. Oluyombo","A community study of the prevalence, risk factors and pattern of chronic kidney disease in Osun State, South West Nigeria",2013,"West African journal of medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907522055&origin=inward",28,"2021-07-17 16:46:24","Article","","0189-160X","https://api.elsevier.com/content/abstract/scopus_id/84907522055",32,2,85,92,20,2.50,20,1,8,"","",""
20,"M. Owolabi","Which risk factors are more associated with ischemic rather than hemorrhagic stroke in black Africans?",2013,"Clinical Neurology and Neurosurgery","","https://api.elsevier.com/content/article/eid/1-s2.0-S0303846713002606","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884535147&origin=inward",29,"2021-07-17 16:46:24","Article","10.1016/j.clineuro.2013.07.015","0303-8467","https://api.elsevier.com/content/abstract/scopus_id/84884535147",115,10,2069,2074,20,2.50,20,1,8,"","",""
20,"E. Odum","Plasma concentrations of water-soluble vitamins in metabolic syndrome subjects",2012,"Nigerian Journal of Clinical Practice","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871664165&origin=inward",30,"2021-07-17 16:46:24","Article","10.4103/1119-3077.104522","1119-3077","https://api.elsevier.com/content/abstract/scopus_id/84871664165",15,4,442,447,20,2.22,20,1,9,"","",""
20,"A. Akintunde","Metabolic syndrome: Comparison of occurrence using three definitions in hypertensive patients",2011,"Clinical Medicine and Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79953268451&origin=inward",31,"2021-07-17 16:46:24","Article","10.3121/cmr.2010.902","1539-4182","https://api.elsevier.com/content/abstract/scopus_id/79953268451",9,1,26,31,20,2.00,20,1,10,"","",""
18,"B. Chiliza","Combining depot antipsychotic with an assertive monitoring programme for treating first-episode schizophrenia in a resource-constrained setting",2016,"Early Intervention in Psychiatry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84954026436&origin=inward",32,"2021-07-17 16:46:24","Article","10.1111/eip.12141","1751-7885","https://api.elsevier.com/content/abstract/scopus_id/84954026436",10,1,54,62,18,3.60,18,1,5,"","",""
18,"A. Samtia","A multifactorial intervention to enhance adherence to medications and disease-related knowledge in type 2 diabetic patients in Southern Punjab, Pakistan",2013,"Tropical Journal of Pharmaceutical Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885742628&origin=inward",33,"2021-07-17 16:46:24","Article","10.4314/tjpr.v12i5.28","1596-5996","https://api.elsevier.com/content/abstract/scopus_id/84885742628",12,5,851,856,18,2.25,18,1,8,"","",""
18,"O. Oguntibeju","Health behaviour and quality of life of patients with type 2 diabetes attending selected Hospitals in South Western Nigeria",2012,"West Indian Medical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872518911&origin=inward",34,"2021-07-17 16:46:24","Article","","0043-3144","https://api.elsevier.com/content/abstract/scopus_id/84872518911",61,6,,,18,2.00,18,1,9,"","",""
18,"A.O. Sola","Underweight, overweight and obesity in adults Nigerians living in rural and urban communities of Benue State",2011,"Annals of African Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960001324&origin=inward",35,"2021-07-17 16:46:24","Article","10.4103/1596-3519.82081","1596-3519","https://api.elsevier.com/content/abstract/scopus_id/79960001324",10,2,139,143,18,1.80,18,1,10,"","",""
17,"C.E. Okereke","Evaluation of some anthropometric indices for the diagnosis of obesity in pregnancy in Nigeria: A cross-sectional study",2013,"African Health Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84893907742&origin=inward",36,"2021-07-17 16:46:24","Article","10.4314/ahs.v13i4.25","1680-6905","https://api.elsevier.com/content/abstract/scopus_id/84893907742",13,4,1034,1040,17,2.13,17,1,8,"","",""
17,"C. Ejike","Obesity in young-adult Nigerians: Variations in prevalence determined by anthropometry and bioelectrical impedance analysis, and the development of % body fat prediction equations",2012,"International Archives of Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84865254935&origin=inward",37,"2021-07-17 16:46:24","Article","10.1186/1755-7682-5-22","1755-7682","https://api.elsevier.com/content/abstract/scopus_id/84865254935",5,1,,,17,1.89,17,1,9,"","",""
17,"J. Ekezie","Impact of urbanization on obesity, anthropometric profile and blood pressure in the Igbos of Nigeria",2011,"North American Journal of Medical Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955652016&origin=inward",38,"2021-07-17 16:46:24","Article","10.4297/najms.2011.3242","1947-2714","https://api.elsevier.com/content/abstract/scopus_id/79955652016",3,5,242,246,17,1.70,17,1,10,"","",""
17,"O. Johnson","Isometric endurance of the back extensors in school-aged adolescents with and without low back pain",2009,"Journal of Back and Musculoskeletal Rehabilitation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77149121400&origin=inward",39,"2021-07-17 16:46:24","Article","10.3233/BMR-2009-0235","1053-8127","https://api.elsevier.com/content/abstract/scopus_id/77149121400",22,4,205,211,17,1.42,17,1,12,"","",""
